2022-10-27 17:06:26.783 GMT [3808] LOG:  database system was shut down at 2022-10-27 16:41:45 GMT
2022-10-27 17:07:09.979 GMT [2860] FATAL:  role "prostgres" does not exist
2022-10-27 17:08:40.035 GMT [2408] FATAL:  database "cmdtest" does not exist
2022-10-27 17:09:02.906 GMT [4604] LOG:  checkpoint starting: immediate force wait
2022-10-27 17:09:02.918 GMT [4604] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.003 s, total=0.012 s; sync files=3, longest=0.002 s, average=0.001 s; distance=1 kB, estimate=1 kB
2022-10-27 17:11:24.242 GMT [4604] LOG:  checkpoint starting: immediate force wait
2022-10-27 17:11:24.567 GMT [4604] LOG:  checkpoint complete: wrote 925 buffers (5.6%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.056 s, sync=0.226 s, total=0.326 s; sync files=249, longest=0.027 s, average=0.001 s; distance=4227 kB, estimate=4227 kB
2022-10-27 17:11:29.381 GMT [4604] LOG:  checkpoint starting: immediate force wait
2022-10-27 17:11:29.428 GMT [4604] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.003 s, total=0.048 s; sync files=2, longest=0.002 s, average=0.002 s; distance=1 kB, estimate=3805 kB
2022-10-27 17:16:29.442 GMT [4604] LOG:  checkpoint starting: time
2022-10-27 17:18:10.593 GMT [4604] LOG:  checkpoint complete: wrote 925 buffers (5.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=100.970 s, sync=0.148 s, total=101.152 s; sync files=249, longest=0.001 s, average=0.001 s; distance=4227 kB, estimate=4227 kB
2022-10-27 17:26:12.652 GMT [8148] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2022-10-27 17:26:12.652 GMT [5788] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2022-10-27 17:26:19.583 GMT [13064] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2022-10-27 17:27:31.789 GMT [4604] LOG:  shutting down
2022-10-27 17:27:31.791 GMT [4604] LOG:  checkpoint starting: shutdown immediate
2022-10-27 17:27:31.797 GMT [4604] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.009 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3805 kB
