<<<<<<< HEAD
Diet,Food_group,Subgroup,Engelse_naam/Food_name,Hoeveelheid/Quantity,ENERCJ_(kJ),ENERCC_(kcal),PROT_(g),FAT_(g),CHO_(g),Subgroup
Vegan,Alcoholic_beverages,Brandy,Brandy,per_100g,957,231,0,0,0,
Vegan,Alcoholic_beverages,Campari,Campari,per_100g,750,180,0,0,10,
Vegan,Alcoholic_beverages,Cognac,Cognac,per_100g,945,228,0,0,1,
Vegan,Alcoholic_beverages,Gin,Gin_young_Dutch,per_100g,812,196,0,0,0,
Vegan,Alcoholic_beverages,Gin,Gin_old_Dutch,per_100g,829,200,0,0,1,
Vegan,Alcoholic_beverages,Wine,Port_wine,per_100g,650,156,0,0,13,
Vegan,Alcoholic_beverages,Rum,Rum,per_100g,969,234,0,0,0,
Vegan,Alcoholic_beverages,Sherry,Sherry,per_100g,460,111,0,0,3.2,
Vegan,Alcoholic_beverages,Vermouth,Vermouth,per_100g,629,150,0,0,16.5,
Vegan,Alcoholic_beverages,Whisky,Whisky,per_100g,1015,245,0,0,0,
Vegan,Alcoholic_beverages,Wine,Wine_red,per_100g,341,82,0,0,3,
Vegan,Alcoholic_beverages,Wine,Wine_white_dry,per_100g,276,67,0.1,0,0.6,
Vegan,Alcoholic_beverages,Liqueur_,Liqueur_,per_100g,1218,291,0,0,29,
Vegan,Alcoholic_beverages,Wine,Wine_white_sweet,per_100g,400,96,0.2,0,5.9,
Vegan,Alcoholic_beverages,Cider,Cider,per_100g,231,55,0.1,0,6.4,
Vegan,Alcoholic_beverages,Wine,Wine_rose,per_100g,297,71,0.1,0,2.5,
Vegan,Bread,Bread,Bread_White,per_100g,1108,262,9.7,3.6,45.9,
Vegan,Bread,Bread,Bread_brown_wheat,per_100g,1000,236,9.8,1.7,42.9,
Vegan,Bread,Bread,Bread_rye_,per_100g,815,193,5.6,1.3,35.6,
Vegan,Cereals_and_cereal_products,Pasta,Pasta_white_raw,per_100g,1511,356,12.3,1.5,72,
Vegan,Cereals_and_cereal_products,Rice,Rice_white_raw,per_100g,1492,352,7,1,78,
Vegan,Cereals_and_cereal_products,Semolina,Semolina,per_100g,1430,337,11,1,70,
Vegan,Cereals_and_cereal_products,Flour,Flour_rice,per_100g,1492,352,7,1,78,
Vegan,Cereals_and_cereal_products,Flour,Flour_buckwheat,per_100g,1496,353,9,2,72,
Vegan,Cereals_and_cereal_products,Cereal,Cereal,per_100g,1604,378,7,0.9,84,
